"user_id","item_id","timestamp","type","priority","recency","customer_name"
"13533","112","1630511349000","is_invited","1","3","c3"
"13560","112","1630511349000","is_invited","1","3","c3"
"13621","251","1647376780000","is_inviting","1","4","c3"
"13818","322","1650567027000","is_inviting","1","4","c3"
"13343","323","1650569261000","is_inviting","1","4","c3"
"13197","228","1647472582000","is_inviting","1","4","c3"
"13789","59","1620398300000","is_inviting","1","2","c3"
"15360","274","1648747244000","is_invited","1","4","c3"
"13654","251","1647376780000","is_invited","1","4","c3"
"13668","251","1647376780000","is_invited","1","4","c3"
"13608","251","1647376780000","is_invited","1","4","c3"
"13524","153","1634145914000","is_invited","1","3","c3"
"13516","190","1643915605000","is_invited","1","4","c3"
"13114","321","1650563924000","is_invited","1","4","c3"
"13699","274","1648740836000","is_invited","1","4","c3"
"13579","251","1647376780000","is_invited","1","4","c3"
"16180","251","1647376780000","is_invited","1","4","c3"
"13790","322","1650567027000","is_invited","1","4","c3"
"13617","47","1616538491000","is_invited","1","2","c3"
"17590","241","1646401427000","is_invited","1","4","c3"
"13605","251","1647376780000","is_invited","1","4","c3"
"17651","138","1631719338000","is_invited","1","3","c3"
"13060","5","1620164207000","is_invited","1","2","c3"
"13064","59","1620367528000","is_invited","1","2","c3"
"13678","251","1647376780000","is_invited","1","4","c3"
"13647","251","1647376780000","is_invited","1","4","c3"
"13604","251","1647376780000","is_invited","1","4","c3"
"13666","251","1647376780000","is_invited","1","4","c3"
"13649","251","1647376780000","is_invited","1","4","c3"
"13521","153","1634145914000","is_invited","1","3","c3"
"13519","104","1630524040000","is_inviting","1","3","c3"
"13419","168","1636651942000","is_inviting","1","3","c3"
"13427","192","1643924469000","is_inviting","1","4","c3"
"13343","326","1650650545000","is_inviting","1","4","c3"
"13343","321","1650563924000","is_inviting","1","4","c3"
