"group_id","user_id","customer_name"
"2","15618","c2"
"6","13446","c2"
"14537","14541","c2"
"13765","15726","c2"
"13765","16495","c2"
"13493","14397","c2"
"2","13857","c2"
"1","17562","c2"
"15544","15565","c2"
"16747","16750","c2"
"16400","16053","c2"
"18131","18124","c2"
"6","16898","c2"
"1","17537","c2"
"15775","15915","c2"
"6","17945","c2"
"17716","14001","c2"
"17499","17542","c2"
"15696","15714","c2"
"17363","17070","c2"
"1","13660","c2"
"2","15621","c2"
"1","16240","c2"
"6","15876","c2"
"6","15771","c2"
"14636","14680","c2"
"6","15110","c2"
"2","14589","c2"
"6","15834","c2"
"2","14836","c2"
"1","15381","c2"
"15696","15719","c2"
"1","16692","c2"
"2","16872","c2"
"6","16848","c2"
"15418","15433","c2"
"1","13995","c2"
"13044","19325","c1"
"6","24041","c1"
"13091","19647","c1"
"13091","21873","c1"
"23051","18587","c1"
"13060","20805","c1"
"16232","16717","c1"
"13119","15133","c1"
"13071","22161","c1"
"13159","15470","c1"
"13082","13969","c1"
"6","13273","c1"
"1","21359","c1"
"15574","24539","c1"
"16506","22999","c1"
"2","23076","c1"
"2","18107","c1"
"6","21475","c1"
"16232","17795","c1"
"13083","27100","c1"
"13219","21684","c1"
"13163","17417","c1"
"23561","18346","c1"
"2","26859","c1"
"1","14667","c1"
"2","23985","c1"
"13932","14112","c1"
"6","20901","c1"
"2","24488","c1"
"6","15737","c1"
"13932","16181","c1"
"2","14524","c1"
"2","20635","c1"
"23529","20964","c1"
"13091","20139","c1"
"6","15717","c1"
"13932","16355","c1"
"13061","18732","c1"
"15575","20265","c1"
"16827","16746","c1"
"23588","21726","c1"
"13346","13656","c1"
"1","14340","c1"
"4","14675","c1"
"2","20110","c1"
"1","13807","c1"
"2","24045","c1"
"16506","17350","c1"
"1","16425","c1"
"2","16989","c1"
"1","24052","c1"
"15864","21095","c1"
"19871","19368","c1"
"13070","13697","c1"
"13082","18871","c1"
"13121","17046","c1"
"6","18414","c1"
"19975","19940","c1"
"2","22941","c1"
"13117","14388","c1"
"6","24438","c1"
"1","22974","c1"
"1","22866","c1"
"2","15524","c1"
"6","17783","c1"
"13346","13873","c1"
"16827","17384","c1"
"13067","19541","c1"
"2","17844","c1"
"2","17292","c1"
"1","19298","c1"
"1","19440","c1"
"19976","27091","c1"
"2","19121","c1"
"1","14140","c1"
"1","18419","c1"
"6","25689","c1"
"13052","13325","c1"
"16506","18319","c1"
"1","17877","c1"
"15864","19206","c1"
"1","17897","c1"
"6","15827","c1"
"2","27013","c1"
"13060","20453","c1"
"18548","19268","c1"
"15864","16311","c1"
"6","25445","c1"
"1","17405","c1"
"13091","16969","c1"
"16232","18516","c1"
"2","26543","c1"
"15864","17959","c1"
"13932","13320","c1"
"6","16566","c1"
"2","14742","c1"
"15864","21190","c1"
"13932","13710","c1"
"23051","17355","c1"
"1","17607","c1"
"16506","18229","c1"
"1","18596","c1"
"13120","18299","c1"
"13118","15865","c1"
"13120","15651","c1"
"13163","18511","c1"
"16506","20566","c1"
"14004","16486","c1"
"6","26921","c1"
"13092","22188","c1"
"20876","18979","c1"
"2","21447","c1"
"2","18554","c1"
"13061","25737","c1"
"13107","21165","c1"
"13346","14640","c1"
"13127","26384","c1"
"6","15090","c1"
"6","23072","c1"
"1","24852","c1"
"13932","15341","c1"
