idst,idstMember,filter
13060,14412,""
6,15524,""
1,14381,""
1,15400,""
2,14950,""
13139,14089,""
13139,14057,""
13116,13589,""
2,14271,""
14013,13973,""
13036,15485,""
14478,14332,""
1,13744,""
15481,15174,""
14521,15378,""
6,14147,""
15458,15159,""
1,15299,""
1,14672,""
1,13835,""
13060,15060,""
14680,15262,""
1,13528,""
13127,14027,""
1,15275,""
2,15338,""
15481,15507,""
2,14269,""
6,14325,""
15481,15381,""
14478,15299,""
13125,13671,""
13115,13885,""
6,13621,""
1,14982,""
14953,14983,""
2,13991,""
14973,15012,""
6,14676,""
6,15264,""
13112,13893,""
13135,14125,""
1,15508,""
6,15360,""
13053,13748,""
13060,15446,""
1,14352,""
12301,13811,""
13122,14052,""
14682,15210,""
6,15079,""
6,15506,""
6,13863,""
6,14577,""
14478,13747,""
13053,15161,""
13060,15236,""
13131,13528,""
6,14603,""
4,13992,""
13118,13986,""
14136,14179,""
1,15039,""
2,14601,""
14665,15144,""
14521,14674,""
2,15140,""
6,15201,""
2,14091,""
13053,15185,""
6,14260,""
1,13844,""
13035,15521,""
1,14123,""
4,13801,""
13060,15136,""
1,15499,""
1,13709,""
6,15177,""
14520,15376,""
14682,14746,""
6,14452,""
14342,15185,""
13122,13722,""
1,14219,""
14478,13802,""
4,13984,""
14192,14030,""
1,15353,""
13060,15131,""
6,14272,""
14665,15348,""
13060,15070,""
13133,13696,""
13112,13911,""
1,13778,""
6,15099,""
14528,13847,""
13053,13847,""
14528,13958,""
13036,15425,""
14478,13832,""
1,14119,""
13123,14112,""
1,14610,""
2,13789,""
14478,14444,""
6,15515,""
6,13600,""
2,14551,""
14342,14523,""
6,14974,""
2,14022,""
15481,15501,""
2,15164,""
1,15456,""
13151,13813,""
14528,14453,""
1,15278,""
13131,13111,""
13035,15485,""
14274,15320,""
6,15459,""
6,15176,""
13139,14306,""
6,13853,""
6,14077,""
13053,15158,""
13060,14441,""
2,15525,""
2,14648,""
13035,15445,""
13060,15404,""
14656,15296,""
13060,14505,""
13035,15453,""
1,15475,""
14679,15216,""
1,14363,""
2,13802,""
13137,14078,""
14274,13796,""
6,15343,""
1,15426,""
6,14966,""
14521,15128,""
1,13596,""
14711,15227,""
1,13763,""
2,14446,""
14665,15141,""
14478,14544,""
2,15486,""
6,14438,""
6,15134,""
1,13673,""
13135,14226,""
13036,15491,""
1,13670,""
14478,14604,""
1,15361,""
13053,15295,""
2,14218,""
13053,13805,""
2,14557,""
12301,13758,""
13036,15411,""
13036,15453,""
6,15442,""
1,14254,""
1,13858,""
13053,14005,""
15481,15490,""
14229,14046,""
14520,15417,""
13035,15514,""
14478,13823,""
6,14058,""
14664,15142,""
2,13624,""
14521,14587,""
13036,15416,""
13060,14590,""
13035,15522,""
2,15197,""
1,13847,""
14521,15072,""
6,14644,""
13053,13712,""
13053,13932,""
6,13737,""
14521,15516,""
1,14460,""
13114,13810,""
2,14566,""
2,14625,""
2,14981,""
13060,15380,""
2,15037,""
1,14390,""
13060,14460,""
14478,13924,""
6,14114,""
13060,14637,""
1,15501,""
1,13997,""
14699,15274,""
14945,15013,""
13060,15351,""
2,15148,""
1,13893,""
15481,15396,""
13060,14372,""
2,13835,""
13035,15382,""
14478,14461,""
1,13911,""
6,14461,""
14274,15161,""
2,13849,""
14521,15056,""
1,14244,""
14521,14601,""
14262,14260,""
14679,15296,""
13060,15139,""
6,15370,""
13035,15296,""
14664,15489,""
2,14474,""
2,15367,""
6,13854,""
6,14523,""
13060,14402,""
14274,14253,""
14155,14157,""
2,15389,""
1,13942,""
2,15427,""
13124,14169,""
2,14627,""
14478,13617,""
2,15147,""
6,14071,""
6,15258,""
13060,14379,""
2,15080,""
6,15029,""
13119,13626,""
1,13986,""
14680,14767,""
6,15383,""
14274,14386,""
13134,13924,""
4,14010,""
13134,13842,""
14274,13916,""
13139,13637,""
1,13828,""
6,15504,""
14274,13919,""
6,13688,""
14478,14403,""
13060,15534,""
13060,14644,""
14948,15045,""
6,14401,""
13060,15063,""
1,14420,""
14342,14371,""
14953,15042,""
14478,13600,""
14528,14020,""
6,13608,""
13035,15501,""
13035,15358,""
2,15397,""
14680,15147,""
13035,15425,""
6,14025,""
14695,15193,""
13036,15141,""
6,13788,""
6,14223,""
13053,13684,""
14528,13736,""
2,13912,""
1,15409,""
1,15403,""
6,14259,""
2,15128,""
1,13641,""
2,14603,""
2,15430,""
13118,13648,""
13060,15462,""
1,15215,""
6,14509,""
2,13759,""
13134,14214,""
1,15061,""
6,13719,""
14944,14950,""
1,13819,""
14521,14673,""
13133,14327,""
13112,13901,""
14264,13849,""
6,13693,""
6,13111,""
13071,13783,""
6,15295,""
2,15055,""
13036,15368,""
13060,14518,""
6,15121,""
2,15020,""
1,14036,""
14520,15400,""
13060,15142,""
14110,14010,""
13133,14240,""
14342,15328,""
13137,13897,""
13156,13702,""
6,15286,""
1,15412,""
2,14167,""
13151,14128,""
14478,13765,""
12301,13733,""
1,13926,""
14478,14442,""
6,14700,""
13060,15295,""
14528,15171,""
1,13903,""
1,13652,""
14262,13690,""
1,15110,""
13036,15079,""
14952,15019,""
2,15060,""
14665,15490,""
