id,idChannel,idAsset,asset_type,peer_review,created_at,created_by,updated_at,updated_by
450,72,409,1,"","","","",""
471,73,430,1,"","","","",""
615,16,611,1,"","","","",""
42,25,39,1,"","","","",""
179,32,185,1,"","","","",""
172,36,178,1,"","","","",""
642,42,626,1,"","","","",""
367,44,335,1,"","","","",""
376,44,346,1,"","","","",""
210,50,219,1,"","","","",""
347,55,318,1,"","","","",""
714,55,711,1,"","","","",""
271,61,271,1,"","","","",""
447,72,406,1,"","","","",""
473,73,426,1,"","","","",""
585,77,581,1,"","","","",""
540,29,87,4,"","","","",""
174,29,181,1,"","","","",""
511,31,488,1,"","","","",""
167,33,176,1,"","","","",""
86,46,95,1,"","","","",""
193,49,200,1,"","","","",""
219,54,226,1,"","","","",""
461,55,422,1,"","","","",""
259,62,264,1,"","","","",""
567,76,564,1,"","","","",""
582,77,578,1,"","","","",""
688,83,122,4,"","","","",""
147,23,153,1,"","","","",""
154,23,168,1,"","","","",""
548,25,536,1,"","","","",""
56,26,54,1,"","","","",""
198,54,204,1,"","","","",""
455,54,416,1,"","","","",""
504,74,480,1,"","","","",""
701,78,643,1,"","","","",""
669,78,667,1,"","","","",""
717,81,713,1,"","","","",""
