"item_id","creation_date","content_type","recency","customer_name"
"235","1646068412000","19","4","c3"
"5","1598320865000","1","2","c3"
"6","1598320876000","1","2","c3"
"3","1597271442000","1","2","c3"
"177","1600853455000","1","2","c2"
"68","1622530105000","1","2","c3"
"365","1653660640000","1","5","c3"
"153","1634142546000","1","3","c3"
"323","1650569246000","1","4","c3"
"169","1636588132000","19","3","c3"
"90","1571221647000","1","1","c2"
"249","1646958331000","15","4","c3"
"138","1631719299000","1","3","c3"
"360","1653062007000","19","5","c3"
"137","1631198077000","1","3","c3"
